"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","11/14/2012","10:31:31","","Page /litetest/index.cfm [/Users/lmajano/Documents/MyDocs/OrtusSolutions/Products/DevBox/webapps/ROOT/litetest/index.cfm] not found"
"ERROR","web-0","11/14/2012","10:31:39","","Page /litetest/index.cfm [/Users/lmajano/Documents/MyDocs/OrtusSolutions/Products/DevBox/webapps/ROOT/litetest/index.cfm] not found"
"ERROR","web-0","11/14/2012","10:33:23","","invalid component definition, can't find coldbox.system.mvc.Bootstrap"
"ERROR","web-0","11/14/2012","10:47:52","","datasource [contacts] doesn't exist"
"ERROR","web-0","07/10/2013","12:42:46","","Page /coldbox/litesamples/index.cfm [/Users/lmajano/Documents/MyDocs/OrtusSolutions/Products/DevBox/webapps/ROOT/coldbox/litesamples/index.cfm] not found"
"ERROR","web-0","07/10/2013","12:45:56","","datasource [contacts] doesn't exist; existing datasource names are [_queryofquerydb]"
"ERROR","web-0","07/10/2013","12:46:03","","datasource [contacts] doesn't exist; existing datasource names are [_queryofquerydb]"
"ERROR","web-0","04/01/2014","14:00:37","","The key [CBBOOTSTRAP] does not exist, only the following keys are available: [applicationname]."
"ERROR","web-0","04/01/2014","14:03:07","","can't create directory /Users/benknox/Desktop/coldbox-devbox_2/webapps/ROOT/WEB-INF/railo/temp/graph, directory already exists"
"ERROR","web-0","04/01/2014","14:03:07","","Cache default is not registered.; Valid cache names are "
"ERROR","web-0","04/01/2014","14:41:03","","No matching function [RELOADCHECKS] found"
"ERROR","web-0","04/01/2014","14:53:20","","No matching function [INITCLIENTVARS] found"
"ERROR","web-0","04/01/2014","15:12:15","","can't create directory /Users/benknox/Desktop/coldbox-devbox_2/webapps/ROOT/WEB-INF/railo/temp/graph, directory already exists"
"ERROR","web-0","04/01/2014","15:12:18","","Page /Apollo21/index.cfm/index.cfm [/Users/benknox/Desktop/coldbox-devbox_2/webapps/ROOT/Apollo21/index.cfm/index.cfm] not found"
"ERROR","web-0","04/01/2014","17:05:48","","The key [event] does not exist, only the following keys are available: [cbox_incomingContextHash,currentRoute,currentRoutedURL]."
"ERROR","web-0","04/01/2014","17:05:53","","The key [bootstrap.min.css] does not exist, only the following keys are available: [event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:06:09","","The key [jquery.js] does not exist, only the following keys are available: [event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:06:09","","The key [bootstrap.min.css] does not exist, only the following keys are available: [event,jquery.js,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:06:12","","The key [namespaceRouting] does not exist, only the following keys are available: [cbox_incomingContextHash,currentRoute,currentRoutedURL]."
"ERROR","web-0","04/01/2014","17:06:46","","The key [namespaceRouting] does not exist, only the following keys are available: [cbox_incomingContextHash,currentRoute,currentRoutedURL]."
"ERROR","web-0","04/01/2014","17:06:46","","The key [currentRoutedURL] does not exist, only the following keys are available: [event,jquery.js,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:06:46","","The key [bootstrap.min.css] does not exist, only the following keys are available: [event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:07:12","","Page /Apollo21/index.cfm/index.cfm [/Users/benknox/Desktop/coldbox-devbox_2/webapps/ROOT/Apollo21/index.cfm/index.cfm] not found"
"ERROR","web-0","04/01/2014","17:07:12","","The key [jquery.js] does not exist, only the following keys are available: [bootstrap.min.css,event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:07:21","","The key [jquery.js] does not exist, only the following keys are available: [event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:07:21","","The key [currentRoutedURL] does not exist, only the following keys are available: [bootstrap.min.js,event,namespace,namespaceRouting]."
"ERROR","web-0","04/01/2014","17:07:21","","The key [jquery.js] does not exist, only the following keys are available: [bootstrap.min.css,event,namespace,namespaceRouting]."
